# 1D ASCII output created by CarpetIOASCII
#
# QUASILOCALMEASURES::QLM_3DETERMINANT y (quasilocalmeasures::qlm_3determinant)
#
# iteration 0
# refinement level 0   multigrid level 0   map 0   component 0   time level 0
# column format: 1:it	2:tl 3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:qlm_3det[0]
0	0 0 0 0	0 0 0	0	0 0 0	-1
0	0 0 0 0	0 1 0	0	0 1 0	-1
0	0 0 0 0	0 2 0	0	0 2 0	-1
0	0 0 0 0	0 3 0	0	0 3 0	-0.999999999999999
0	0 0 0 0	0 4 0	0	0 4 0	-0.999999999999999
0	0 0 0 0	0 5 0	0	0 5 0	-1
0	0 0 0 0	0 6 0	0	0 6 0	-1
0	0 0 0 0	0 7 0	0	0 7 0	-1
0	0 0 0 0	0 8 0	0	0 8 0	-0.999999999999998
0	0 0 0 0	0 9 0	0	0 9 0	-1
0	0 0 0 0	0 10 0	0	0 10 0	-1
0	0 0 0 0	0 11 0	0	0 11 0	-1
0	0 0 0 0	0 12 0	0	0 12 0	-1
0	0 0 0 0	0 13 0	0	0 13 0	-1
0	0 0 0 0	0 14 0	0	0 14 0	-1
0	0 0 0 0	0 15 0	0	0 15 0	-1
0	0 0 0 0	0 16 0	0	0 16 0	-1
0	0 0 0 0	0 17 0	0	0 17 0	-1
0	0 0 0 0	0 18 0	0	0 18 0	-0.999999999999998
0	0 0 0 0	0 19 0	0	0 19 0	-1
0	0 0 0 0	0 20 0	0	0 20 0	-1
0	0 0 0 0	0 21 0	0	0 21 0	-1
0	0 0 0 0	0 22 0	0	0 22 0	-1
0	0 0 0 0	0 23 0	0	0 23 0	-1
0	0 0 0 0	0 24 0	0	0 24 0	-1
0	0 0 0 0	0 25 0	0	0 25 0	-0.999999999999999
0	0 0 0 0	0 26 0	0	0 26 0	-0.999999999999999
0	0 0 0 0	0 27 0	0	0 27 0	-1
0	0 0 0 0	0 28 0	0	0 28 0	-1
0	0 0 0 0	0 29 0	0	0 29 0	-1
0	0 0 0 0	0 30 0	0	0 30 0	-0.999999999999999
0	0 0 0 0	0 31 0	0	0 31 0	-0.999999999999999
0	0 0 0 0	0 32 0	0	0 32 0	-0.999999999999999
0	0 0 0 0	0 33 0	0	0 33 0	-1
0	0 0 0 0	0 34 0	0	0 34 0	-1
0	0 0 0 0	0 35 0	0	0 35 0	-1
0	0 0 0 0	0 36 0	0	0 36 0	-1
0	0 0 0 0	0 37 0	0	0 37 0	-1
0	0 0 0 0	0 38 0	0	0 38 0	-1
0	0 0 0 0	0 39 0	0	0 39 0	-1
0	0 0 0 0	0 40 0	0	0 40 0	-1
0	0 0 0 0	0 41 0	0	0 41 0	-1
0	0 0 0 0	0 42 0	0	0 42 0	-1
0	0 0 0 0	0 43 0	0	0 43 0	-1
0	0 0 0 0	0 44 0	0	0 44 0	-0.999999999999999
0	0 0 0 0	0 45 0	0	0 45 0	-1
0	0 0 0 0	0 46 0	0	0 46 0	-1
0	0 0 0 0	0 47 0	0	0 47 0	-1
0	0 0 0 0	0 48 0	0	0 48 0	-1
0	0 0 0 0	0 49 0	0	0 49 0	-1
0	0 0 0 0	0 50 0	0	0 50 0	-0.999999999999999
0	0 0 0 0	0 51 0	0	0 51 0	-0.999999999999999
0	0 0 0 0	0 52 0	0	0 52 0	-1
0	0 0 0 0	0 53 0	0	0 53 0	-1
0	0 0 0 0	0 54 0	0	0 54 0	-0.999999999999998
0	0 0 0 0	0 55 0	0	0 55 0	-1
0	0 0 0 0	0 56 0	0	0 56 0	-1
0	0 0 0 0	0 57 0	0	0 57 0	-1
0	0 0 0 0	0 58 0	0	0 58 0	-0.999999999999998
0	0 0 0 0	0 59 0	0	0 59 0	-0.999999999999999
0	0 0 0 0	0 60 0	0	0 60 0	-1
